4.57454e-41, 5.85791e+17
0, 0.13
0.26, 0.26
0.26, 0
0.13, 0.26
0.26, 0
0, 0.13
0, 0.26
0.13, 0.26
0.26, 0.26
0, 0.26
0.26, 0.26
0.26, 0.26
0.13, 0.26
0.26, 0.26
0.26, 0
0.26, 0
0.26, 0.13
0.26, 0
0, 0.13
0, 0.26
0.26, 0.26
0, 0.26
0.26, 0.26
0.13, 0.26
0.26, 0
0.26, 0.26
0.26, 0
0, 0.26
0, 0.26
0.13, 0.26
0.26, 0.26
0.26, 0.26
0.13, 0
0.26, 0.26
0.26, 0.26
0.26, 0
0.13, 0.26
0.26, 0.26
0, 0.26
0.13, 0.26
0.26, 0.26
0.26, 0
0.13, 0.26
0.26, 0.26
0.26, 0.26
0.13, 0.26
0.26, 0.26
0.26, 0
0.26, 0.26
0.26, 0
0.26, 0.26
0.26, 0.26
0.13, 0.26
0.26, 0.26
0.13, 0.26
0.26, 0.26
0.26, 0
0.13, 0.26
0.26, 0.26
0.26, 0.26
4.57454e-41, 5.85791e+17
